txid,ordertxid,pair,dateTime,date,time,type,ordertype,price,cost,fee,vol,margin,misc,ledgers
null,null,ATOMUSD,1:49:40 PM,4/20/21,1:49:40 PM,sell,limit,19.83,198.028565,0.316846,9.9863119,0,,null
null,null,ADAUSD,2:38:57 PM,4/20/21,2:38:57 PM,buy,limit,1.2,30,0.048,25,0,,null
null,null,XTZUSD,3:18:43 AM,4/22/21,3:18:43 AM,buy,limit,5.3375,45.36875,0.07259,8.5,0,,null
null,null,ADAUSD,3:46:34 AM,4/22/21,3:46:34 AM,sell,limit,1.195,29.875,0.0478,25,0,,null
null,null,ADAUSD,3:53:46 AM,4/22/21,3:53:46 AM,sell,limit,1.1925,124.34164,0.198947,104.269719,0,,null
null,null,XTZUSD,3:59:48 AM,4/22/21,3:59:48 AM,buy,limit,5.2275,62.73,0.163098,12,0,,null
null,null,XTZUSD,4:08:42 AM,4/22/21,4:08:42 AM,buy,limit,5.29,27.945742,0.044713,5.282749,0,,null
null,null,XTZUSD,4:08:42 AM,4/22/21,4:08:42 AM,buy,limit,5.29,22.065918,0.035305,4.171251,0,,null
null,null,XTZUSD,4:08:46 AM,4/22/21,4:08:46 AM,buy,limit,5.29,203.90834,0.326253,38.546,0,,null
null,null,XTZUSD,3:16:58 PM,4/22/21,3:16:58 PM,sell,limit,5.6179,337.074,0.876392,60,0,,null
null,null,ALGOUSD,7:49:23 PM,4/24/21,7:49:23 PM,buy,limit,1.12375,112.375,0.1798,100,0,,null
null,null,ALGOUSD,12:37:41 AM,4/28/21,12:37:41 AM,sell,limit,1.32428,132.427999,0.344313,100,0,,null
null,null,DOTUSD,12:51:32 AM,4/28/21,12:51:32 AM,buy,limit,35.2725,59.76823,0.09563,1.69447103,0,,null
null,null,STORJUSD,9:34:00 PM,4/28/21,9:34:00 PM,buy,limit,1.95742,97.871,0.254465,50,0,,null
null,null,STORJUSD,3:49:27 PM,5/1/21,3:49:27 PM,sell,limit,2.16482,108.241,0.281427,50,0,,null
null,null,XETHZUSD,3:54:47 PM,5/1/21,3:54:47 PM,buy,limit,2860,286,0.4576,0.1,0,,null
null,null,LINKUSD,3:56:20 PM,5/1/21,3:56:20 PM,buy,limit,39.01763,195.08815,0.507229,5,0,,null
null,null,XTZUSD,3:59:33 PM,5/1/21,3:59:33 PM,sell,limit,5.675,144.388454,0.231022,25.44289936,0,,null
null,null,LINKUSD,4:03:03 PM,5/1/21,4:03:03 PM,buy,limit,39.3468,118.0404,0.306905,3,0,,null
null,null,DOTEUR,4:10:11 PM,5/1/21,4:10:11 PM,sell,limit,30.0272,90.0816,0.23421,3,0,,null
null,null,LINKUSD,4:06:12 AM,5/5/21,4:06:12 AM,sell,limit,48.18175,213.92697,0.55621,4.44,0,,null
null,null,LSKEUR,4:21:36 AM,5/5/21,4:21:36 AM,buy,limit,4.5175,24.620375,0.039393,5.45,0,,null
null,null,LSKUSD,4:21:58 AM,5/5/21,4:21:58 AM,buy,limit,5.428105,144.753983,0.37636,26.6675,0,,null
null,null,LSKUSD,4:24:46 PM,5/5/21,4:24:46 PM,sell,market,5.801013,128.303905,0.33359,22.1175,0,,null
null,null,ATOMEUR,9:51:00 PM,5/6/21,9:51:00 PM,sell,limit,21.002,168.016,0.268826,8,0,,null
null,null,ADAUSD,4:35:16 AM,5/7/21,4:35:16 AM,sell,limit,1.547102,77.3551,0.201123,50,0,,null
null,null,STORJUSD,6:31:32 AM,5/7/21,6:31:32 AM,buy,limit,1.86754,197.95924,0.514694,106,0,,null
null,null,STORJUSD,7:26:14 PM,5/7/21,7:26:14 PM,sell,limit,2.36,202.96,0.324736,86,0,,null
null,null,NANOUSD,2:21:13 AM,5/13/21,2:21:13 AM,sell,market,10.953869,197.169638,0.512641,18,0,,null
null,null,STORJUSD,2:34:21 AM,5/13/21,2:34:21 AM,buy,limit,1.752659,198.050481,0.514931,113,0,,null
null,null,YFIEUR,2:41:10 AM,5/13/21,2:41:10 AM,buy,market,58615,164.122,0.42672,0.0028,0,,null
null,null,YFIETH,2:45:25 AM,5/13/21,2:45:25 AM,sell,limit,17.65013,0.04942,0.00013,0.00279998,0,,null
null,null,STORJUSD,11:45:36 AM,5/13/21,11:45:36 AM,sell,market,1.718241,228.526078,0.594168,133,0,,null
null,null,LSKEUR,11:47:41 AM,5/13/21,11:47:41 AM,sell,market,5.551871,55.51871,0.144348,10,0,,null
null,null,XETHZUSD,12:01:43 PM,5/13/21,12:01:43 PM,buy,limit,3725,44.7,0.11622,0.012,0,,null
null,null,NANOUSD,12:20:54 PM,5/13/21,12:20:54 PM,sell,market,13.335406,56.008705,0.145623,4.2,0,,null
null,null,XETHZUSD,5:34:49 PM,5/13/21,5:34:49 PM,buy,limit,3559.72,88.993,0.23138,0.025,0,,null
null,null,XETHZUSD,5:39:30 PM,5/13/21,5:39:30 PM,buy,limit,3594.08,161.7336,0.42051,0.045,0,,null
null,null,XETHZEUR,12:07:26 AM,5/16/21,12:07:26 AM,buy,limit,3058.03,36.69636,0.05871,0.012,0,,null
null,null,LINKUSD,12:52:36 AM,5/16/21,12:52:36 AM,sell,limit,41.94991,176.189622,0.458093,4.2,0,,null
null,null,XETHZUSD,3:09:00 PM,5/16/21,3:09:00 PM,buy,limit,3665.7,153.9594,0.40029,0.042,0,,null
null,null,XETHZUSD,4:44:46 PM,5/16/21,4:44:46 PM,buy,market,3566.26,71.3252,0.18545,0.02,0,,null
null,null,XETHZUSD,8:03:31 PM,5/16/21,8:03:31 PM,buy,limit,3415.01,23.90507,0.06215,0.007,0,,null
null,null,LINKXBT,3:12:56 AM,5/19/21,3:12:56 AM,sell,market,0.00096812,0.00451748,0.000011745,4.66624,0,,null
null,null,NANOXBT,3:14:26 AM,5/19/21,3:14:26 AM,buy,market,0.000230643,0.004382217,0.000011394,19,0,,null
null,null,NANOUSD,3:16:15 AM,5/19/21,3:16:15 AM,sell,market,9.283874,202.286981,0.525945,21.78907,0,,null
